#{"t_start": 1778267186.480947, "env_id": "None"}
r,l,t
-100.0,50,3.116429
700.0,9,3.125264
700.0,13,3.138699
0.0,50,3.191939
-200.0,50,3.238437
-100.0,50,3.273436
700.0,14,3.286895
-200.0,50,3.32365
0.0,50,3.360548
700.0,21,3.375792
-300.0,50,3.412214
700.0,49,3.446665
700.0,4,3.449532
700.0,14,3.45981
-100.0,50,3.495156
700.0,29,3.515511
-200.0,50,3.551392
-200.0,50,3.586264
-200.0,50,3.620411
-100.0,50,3.653858
700.0,13,3.662913
-200.0,50,3.697331
700.0,17,3.70877
-200.0,50,3.742744
700.0,6,3.747235
-300.0,50,3.781823
-100.0,50,3.816837
700.0,13,3.826636
700.0,3,3.829111
700.0,9,3.83561
700.0,18,4.36767
700.0,7,4.372689
-200.0,50,4.412169
100.0,50,4.448661
-200.0,50,4.483771
700.0,7,4.488754
-200.0,50,4.522595
0.0,50,4.558826
700.0,13,4.569884
-100.0,50,4.606052
700.0,36,4.639812
-200.0,50,4.683611
700.0,7,4.689832
700.0,45,4.722532
-100.0,50,4.761148
700.0,14,4.771425
700.0,15,4.782599
100.0,50,4.819257
0.0,50,4.855376
700.0,4,4.858463
700.0,49,4.893742
-300.0,50,4.929926
700.0,17,4.942595
700.0,30,4.963906
-300.0,50,4.998761
700.0,9,5.00544
700.0,9,5.011943
700.0,9,5.018334
0.0,50,5.052718
-300.0,50,5.480292
700.0,15,5.490828
700.0,8,5.496183
-300.0,50,5.996893
100.0,50,6.033004
700.0,7,6.038783
700.0,24,6.056202
100.0,50,6.09321
700.0,20,6.107306
-100.0,50,6.14599
700.0,16,6.159455
-100.0,50,6.200644
700.0,12,6.209777
700.0,11,6.21732
700.0,29,6.237717
-200.0,50,6.271378
-100.0,50,6.305737
-100.0,50,6.34001
700.0,13,6.349256
-200.0,50,6.382788
700.0,25,6.400158
700.0,25,6.417188
700.0,44,6.447497
-200.0,50,6.482315
-100.0,50,6.515784
100.0,50,6.549791
-100.0,50,6.584538
-100.0,50,6.618688
0.0,50,6.652566
700.0,6,6.656844
700.0,27,6.67486
-200.0,50,7.155389
-200.0,50,7.191738
0.0,50,7.226985
700.0,29,7.247775
-200.0,50,7.283172
-300.0,50,7.317872
-100.0,50,7.352571
700.0,25,7.369053
0.0,50,7.403378
700.0,37,7.428471
700.0,5,7.432322
700.0,11,7.441536
700.0,33,7.464631
0.0,50,7.499368
700.0,12,7.507975
700.0,35,7.532859
700.0,50,7.567658
0.0,50,7.601474
700.0,12,7.610307
-200.0,50,7.643772
100.0,50,7.677715
